Iteration,Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
1,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
1,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
1,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
1,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
1,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
2,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
2,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
2,NetBIOS,0.995955,0.994958,0.989967,0.992456,1624,3,6,592
2,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
2,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
2,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
3,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
3,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
3,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
3,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
3,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
3,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
4,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
4,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
4,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
4,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
4,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
4,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
5,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
5,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
5,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
5,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
5,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
5,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
6,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
6,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
6,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
6,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
6,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
6,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
7,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
7,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
7,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
7,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
7,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
7,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
8,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
8,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
8,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
8,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
8,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
8,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
9,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
9,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
9,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
9,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
9,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
9,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
10,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
10,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
10,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
10,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
10,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
10,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
11,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
11,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
11,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
11,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
11,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
11,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
12,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
12,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
12,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
12,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
12,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
12,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
13,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
13,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
13,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
13,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
13,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
13,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
14,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
14,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
14,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
14,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
14,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
14,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
15,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
15,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
15,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
15,Syn,0.439912,0.931034,0.050657,0.096085,372,2,506,27
15,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
15,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
16,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
16,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
16,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
16,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
16,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
16,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
17,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
17,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
17,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
17,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
17,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
17,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
18,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
18,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
18,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
18,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
18,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
18,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
19,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
19,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
19,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
19,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
19,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
19,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
20,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
20,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
20,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
20,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
20,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
20,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
21,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
21,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
21,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
21,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
21,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
21,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
22,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
22,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
22,NetBIOS,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
22,Syn,0.410143,0.0,0.0,0.0,372,2,533,0
22,UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
22,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
23,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
23,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
23,NetBIOS,0.996854,0.998314,0.989967,0.994123,1626,1,6,592
23,Syn,0.411246,0.333333,0.001876,0.003731,372,2,532,1
23,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
23,UDPLag,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
24,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
24,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
